,location,name,nid,rank,rank_order,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
10,United States,Yale University,475,11,11,96.7,24,34.7,231,55.5,176,89.1,91.2,9,92.3,5,"Agriculture & Forestry,Economics & Econometrics,Business & Management,Art, Performing Arts & Design,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,General Engineering,Archaeology,Architecture,Physics & Astronomy,Other Health,Biological Sciences,Electrical & Electronic Engineering,Chemistry,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Psychology,Sociology,Chemical Engineering,Law,Computer Science,Politics & International Studies (incl Development Studies)",/world-university-rankings/yale-university
11,United States,Columbia University,476,12,12,97.8,17,-,373,67.6,114,87.5,81.8,20,89.1,10,"Medicine & Dentistry,Other Health,Communication & Media Studies,General Engineering,Sociology,Law,Mathematics & Statistics,Accounting & Finance,Languages, Literature & Linguistics,Physics & Astronomy,History, Philosophy & Theology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Architecture,Economics & Econometrics,Chemistry,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Computer Science,Business & Management,Civil Engineering,Politics & International Studies (incl Development Studies),Education,Electrical & Electronic Engineering,Archaeology,Chemical Engineering,Geography,Psychology",/world-university-rankings/columbia-university
12,United States,"University of California, Los Angeles",477,13,13,97.3,22,-,388,41.0,246,87.3,92.5,8,85.9,14,"Other Health,Education,Electrical & Electronic Engineering,History, Philosophy & Theology,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Sociology,Languages, Literature & Linguistics,Chemical Engineering,Architecture,Biological Sciences,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Computer Science,Business & Management,Mathematics & Statistics,Civil Engineering,Mechanical & Aerospace Engineering,Chemistry,Law,Geography,Psychology,Physics & Astronomy",/world-university-rankings/university-california-los-angeles
13,United States,Johns Hopkins University,478,14,14,97.3,21,100.0,4,59.9,150,85.8,86.5,16,78.9,18,"Accounting & Finance,History, Philosophy & Theology,Psychology,Biological Sciences,Business & Management,Other Health,General Engineering,Physics & Astronomy,Geography,Chemistry,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Computer Science,Civil Engineering,Economics & Econometrics,Politics & International Studies (incl Development Studies),Sociology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Education,Mechanical & Aerospace Engineering,Communication & Media Studies,Archaeology,Electrical & Electronic Engineering,Chemical Engineering,Medicine & Dentistry",/world-university-rankings/johns-hopkins-university
14,Switzerland,ETH Zurich – Swiss Federal Institute of Technology Zurich,479,15,15,87.2,60,-,376,97.5,2,85.0,85.8,18,79.1,17,"Mathematics & Statistics,Business & Management,Politics & International Studies (incl Development Studies),Chemical Engineering,Biological Sciences,Agriculture & Forestry,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Medicine & Dentistry,Electrical & Electronic Engineering,Architecture,Accounting & Finance,Computer Science,Physics & Astronomy,General Engineering,Civil Engineering,Chemistry",/world-university-rankings/eth-zurich-swiss-federal-institute-technology-zurich
15,United States,University of Pennsylvania,480,16,16,97.9,16,41.9,153,34.3,278,84.9,86.1,17,87.0,12,"Physics & Astronomy,Politics & International Studies (incl Development Studies),Psychology,Sociology,Geography,Mathematics & Statistics,Chemistry,Veterinary Science,Computer Science,Mechanical & Aerospace Engineering,Business & Management,Accounting & Finance,Chemical Engineering,Law,Languages, Literature & Linguistics,Education,Architecture,General Engineering,History, Philosophy & Theology,Other Health,Electrical & Electronic Engineering,Art, Performing Arts & Design,Medicine & Dentistry,Biological Sciences,Archaeology,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Economics & Econometrics",/world-university-rankings/university-pennsylvania
16,United Kingdom,UCL,481,17,17,89.0,55,41.4,158,91.8,13,83.2,84.3,19,77.8,19,"Law,Archaeology,History, Philosophy & Theology,Business & Management,Economics & Econometrics,Architecture,Electrical & Electronic Engineering,Medicine & Dentistry,Chemical Engineering,Education,Mechanical & Aerospace Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Psychology,Chemistry,Geography,Mathematics & Statistics,Art, Performing Arts & Design,Languages, Literature & Linguistics,Civil Engineering,Other Health,General Engineering,Computer Science",/world-university-rankings/ucl
17,United States,University of Michigan,482,18,18,94.3,32,53.3,101,47.2,217,82.8,90.0,11,75.4,22,"Medicine & Dentistry,Other Health,Biological Sciences,Accounting & Finance,General Engineering,Sport Science,Geology, Environmental, Earth & Marine Sciences,Psychology,Chemistry,Physics & Astronomy,Civil Engineering,Sociology,Politics & International Studies (incl Development Studies),Geography,Mathematics & Statistics,Computer Science,Economics & Econometrics,Law,Art, Performing Arts & Design,Business & Management,History, Philosophy & Theology,Languages, Literature & Linguistics,Education,Communication & Media Studies,Mechanical & Aerospace Engineering,Archaeology,Chemical Engineering,Architecture,Electrical & Electronic Engineering",/world-university-rankings/university-michigan
18,Canada,University of Toronto,483,19,19,86.5,63,44.9,129,69.0,108,81.6,87.4,14,76.9,20,"Physics & Astronomy,Mechanical & Aerospace Engineering,Chemistry,Law,Other Health,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,General Engineering,Biological Sciences,Sport Science,Geography,Psychology,Medicine & Dentistry,Mathematics & Statistics,Civil Engineering,Computer Science,Sociology,Economics & Econometrics,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Business & Management,History, Philosophy & Theology,Education,Accounting & Finance,Agriculture & Forestry,Communication & Media Studies,Electrical & Electronic Engineering,Architecture,Chemical Engineering,Archaeology",/world-university-rankings/university-toronto
19,United States,Cornell University,484,20,20,93.5,36,-,374,53.4,181,80.5,87.2,15,70.4,28,"Chemistry,Architecture,Agriculture & Forestry,Veterinary Science,Psychology,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Archaeology,Computer Science,Chemical Engineering,Biological Sciences,Other Health,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Mathematics & Statistics,Communication & Media Studies,History, Philosophy & Theology,Languages, Literature & Linguistics,Civil Engineering,Sociology,Business & Management,Law,Politics & International Studies (incl Development Studies),Economics & Econometrics",/world-university-rankings/cornell-university
20,United States,Carnegie Mellon University,485,21,21,97.4,19,60.7,86,55.0,177,78.4,79.5,24,65.7,40,"Chemistry,Other Health,General Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Psychology,Geography,Computer Science,Civil Engineering,Economics & Econometrics,Sociology,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Business & Management,Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Accounting & Finance,Communication & Media Studies,Chemical Engineering,Electrical & Electronic Engineering,Medicine & Dentistry,Architecture",/world-university-rankings/carnegie-mellon-university
21,Canada,University of British Columbia,486,22,22,85.2,71,40.6,168,88.7,27,77.4,78.6,26,68.6,31,"History, Philosophy & Theology,Communication & Media Studies,Electrical & Electronic Engineering,Economics & Econometrics,General Engineering,Physics & Astronomy,Psychology,Sport Science,Geology, Environmental, Earth & Marine Sciences,Other Health,Civil Engineering,Geography,Mathematics & Statistics,Chemistry,Computer Science,Politics & International Studies (incl Development Studies),Architecture,Art, Performing Arts & Design,Languages, Literature & Linguistics,Law,Accounting & Finance,Education,Archaeology,Biological Sciences,Agriculture & Forestry,Mechanical & Aerospace Engineering,Business & Management,Medicine & Dentistry,Chemical Engineering,Sociology",/world-university-rankings/university-british-columbia
22,United States,Duke University,487,22,23,97.4,20,100.0,2,46.9,219,77.4,77.9,28,62.6,48,"Medicine & Dentistry,Electrical & Electronic Engineering,Physics & Astronomy,General Engineering,Psychology,Education,Chemistry,Civil Engineering,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Computer Science,Law,Sociology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Other Health,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,History, Philosophy & Theology,Economics & Econometrics,Biological Sciences",/world-university-rankings/duke-university
23,United States,Georgia Institute of Technology,488,24,24,91.9,43,99.2,19,65.0,127,77.0,73.8,35,66.6,35,"History, Philosophy & Theology,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Chemical Engineering,Business & Management,Sociology,Chemistry,Communication & Media Studies,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Physics & Astronomy,Biological Sciences,Mathematics & Statistics,Psychology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Civil Engineering,General Engineering,Architecture,Other Health",/world-university-rankings/georgia-institute-technology
24,United States,University of Washington,489,25,25,98.2,14,31.8,270,36.9,264,76.5,74.0,34,70.8,27,"Business & Management,Archaeology,Geography,Education,Accounting & Finance,Law,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Psychology,Sociology,Civil Engineering,Architecture,Biological Sciences,Computer Science,Physics & Astronomy,Economics & Econometrics,Mechanical & Aerospace Engineering,General Engineering,Art, Performing Arts & Design,Mathematics & Statistics,Other Health,Chemistry,History, Philosophy & Theology,Agriculture & Forestry,Chemical Engineering,Electrical & Electronic Engineering",/world-university-rankings/university-washington
25,United States,Northwestern University,490,26,26,98.6,11,56.6,94,35.3,272,76.2,75.5,31,66.3,37,"Accounting & Finance,Chemical Engineering,Communication & Media Studies,Sociology,Law,Biological Sciences,General Engineering,Electrical & Electronic Engineering,Psychology,Medicine & Dentistry,Geography,History, Philosophy & Theology,Chemistry,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Other Health,Education,Physics & Astronomy,Economics & Econometrics,Business & Management,Computer Science,Mathematics & Statistics,Civil Engineering",/world-university-rankings/northwestern-university
26,United States,University of Wisconsin-Madison,491,27,27,90.6,47,55.3,98,23.8,352,75.8,77.3,29,74.3,23,"Medicine & Dentistry,Communication & Media Studies,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Electrical & Electronic Engineering,Chemical Engineering,Architecture,Physics & Astronomy,Education,Veterinary Science,Psychology,Mechanical & Aerospace Engineering,Chemistry,Law,Other Health,Agriculture & Forestry,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Sport Science,General Engineering,Business & Management,Economics & Econometrics,Sociology,Geography,Computer Science,Mathematics & Statistics,Civil Engineering,History, Philosophy & Theology,Accounting & Finance,Art, Performing Arts & Design",/world-university-rankings/university-wisconsin-madison
27,Canada,McGill University,492,28,28,77.1,101,35.1,222,81.4,54,75.5,78.4,27,72.8,26,"Sociology,Computer Science,Communication & Media Studies,Medicine & Dentistry,Mathematics & Statistics,Education,Architecture,Mechanical & Aerospace Engineering,Agriculture & Forestry,Physics & Astronomy,Electrical & Electronic Engineering,Other Health,Geology, Environmental, Earth & Marine Sciences,General Engineering,Chemical Engineering,Biological Sciences,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,History, Philosophy & Theology,Civil Engineering,Business & Management,Psychology,Accounting & Finance,Economics & Econometrics,Chemistry,Geography,Law",/world-university-rankings/mcgill-university
28,United States,University of Texas at Austin,493,29,29,89.6,53,57.7,93,38.8,252,74.9,76.1,30,69.5,30,"General Engineering,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Law,Computer Science,Chemical Engineering,Languages, Literature & Linguistics,Other Health,Sport Science,Archaeology,History, Philosophy & Theology,Art, Performing Arts & Design,Biological Sciences,Psychology,Architecture,Physics & Astronomy,Geography,Sociology,Communication & Media Studies,Economics & Econometrics,Mathematics & Statistics,Civil Engineering,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Education,Chemistry,Electrical & Electronic Engineering,Business & Management",/world-university-rankings/university-texas-austin
29,Japan,The University of Tokyo,494,30,30,69.1,134,76.6,52,23.0,360,74.3,80.3,22,86.1,13,"Economics & Econometrics,History, Philosophy & Theology,Art, Performing Arts & Design,Biological Sciences,Law,Languages, Literature & Linguistics,Chemical Engineering,Sport Science,Medicine & Dentistry,Archaeology,Architecture,Agriculture & Forestry,Veterinary Science,Politics & International Studies (incl Development Studies),Education,Communication & Media Studies,Mechanical & Aerospace Engineering,Business & Management,Mathematics & Statistics,Geography,Other Health,Accounting & Finance,Physics & Astronomy,Psychology,Computer Science,Civil Engineering,Sociology,Chemistry,Geology, Environmental, Earth & Marine Sciences,General Engineering,Electrical & Electronic Engineering",/world-university-rankings/university-tokyo
30,United States,University of Illinois at Urbana-Champaign,495,31,31,81.5,82,-,393,50.7,195,74.2,81.3,21,67.9,33,"Electrical & Electronic Engineering,Other Health,Architecture,Veterinary Science,Geography,Mechanical & Aerospace Engineering,Communication & Media Studies,Civil Engineering,Medicine & Dentistry,Sport Science,Chemical Engineering,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Psychology,Agriculture & Forestry,Computer Science,Sociology,Art, Performing Arts & Design,Archaeology,Mathematics & Statistics,Education,Economics & Econometrics,Physics & Astronomy,Languages, Literature & Linguistics,Accounting & Finance,Business & Management,Politics & International Studies (incl Development Studies),General Engineering,Chemistry,Biological Sciences",/world-university-rankings/university-illinois-urbana-champaign
31,Sweden,Karolinska Institute,496,32,32,73.1,117,78.5,49,82.0,50,73.1,73.8,36,69.9,29,"Biological Sciences,Psychology,Other Health,Medicine & Dentistry,Business & Management",/world-university-rankings/karolinska-institute
32,United States,"University of California, San Diego",497,33,33,97.8,18,51.8,106,31.5,293,73.0,72.0,40,61.4,53,"Physics & Astronomy,Chemistry,Biological Sciences,Sociology,Other Health,Geology, Environmental, Earth & Marine Sciences,Psychology,Geography,General Engineering,Civil Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology,Archaeology,Architecture,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering,Computer Science,Mathematics & Statistics,Education,Business & Management",/world-university-rankings/university-california-san-diego
33,Hong Kong,University of Hong Kong,498,34,34,60.5,173,64.1,73,83.7,43,72.3,80.1,23,74.0,25,"Medicine & Dentistry,Mechanical & Aerospace Engineering,Accounting & Finance,Communication & Media Studies,Architecture,Business & Management,Education,Other Health,Economics & Econometrics,General Engineering,Biological Sciences,Languages, Literature & Linguistics,Law,Civil Engineering,Computer Science,Mathematics & Statistics,Electrical & Electronic Engineering",/world-university-rankings/university-hong-kong
34,United States,"University of California, Santa Barbara",499,35,35,99.9,5,85.0,39,52.6,187,72.1,65.3,47,55.0,67,"Accounting & Finance,Chemical Engineering,Education,Geography,Communication & Media Studies,Physics & Astronomy,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Art, Performing Arts & Design,History, Philosophy & Theology,Economics & Econometrics,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Sociology,Chemistry,Computer Science,Mathematics & Statistics,Biological Sciences,Languages, Literature & Linguistics",/world-university-rankings/university-california-santa-barbara
35,United Kingdom,University of Edinburgh,500,36,36,92.3,41,41.3,159,79.8,60,72.0,61.4,52,63.0,46,"Civil Engineering,Archaeology,Electrical & Electronic Engineering,Architecture,Medicine & Dentistry,Chemical Engineering,Mechanical & Aerospace Engineering,Veterinary Science,Mathematics & Statistics,Law,Politics & International Studies (incl Development Studies),Sociology,Economics & Econometrics,History, Philosophy & Theology,Business & Management,Computer Science,Languages, Literature & Linguistics,Accounting & Finance,Education,Art, Performing Arts & Design,Biological Sciences,Chemistry,Other Health,Geology, Environmental, Earth & Marine Sciences,Psychology,Sport Science,Geography,Physics & Astronomy",/world-university-rankings/university-edinburgh
36,Australia,University of Melbourne,501,37,37,80.7,86,44.4,134,82.5,47,71.9,72.4,38,62.2,49,"Agriculture & Forestry,General Engineering,Chemical Engineering,Law,Geology, Environmental, Earth & Marine Sciences,Education,Geography,Other Health,Physics & Astronomy,Biological Sciences,Civil Engineering,Chemistry,Computer Science,Mathematics & Statistics,Psychology,Archaeology,Architecture,Economics & Econometrics,Business & Management,Languages, Literature & Linguistics,Sociology,History, Philosophy & Theology,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Accounting & Finance,Communication & Media Studies,Veterinary Science,Electrical & Electronic Engineering",/world-university-rankings/university-melbourne
37,Australia,Australian National University,502,38,38,72.6,119,41.7,155,93.8,5,71.2,75.1,33,62.8,47,"General Engineering,Communication & Media Studies,Politics & International Studies (incl Development Studies),Accounting & Finance,History, Philosophy & Theology,Physics & Astronomy,Law,Economics & Econometrics,Art, Performing Arts & Design,Geography,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Sociology,Biological Sciences,Mechanical & Aerospace Engineering,Chemistry,Business & Management,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Mathematics & Statistics,Psychology,Other Health,Computer Science,Archaeology,Medicine & Dentistry",/world-university-rankings/australian-national-university
38,United States,"University of California, Davis",503,38,39,83.4,79,52.5,105,51.4,193,71.2,68.7,42,68.0,32,"Biological Sciences,Civil Engineering,General Engineering,Geography,Physics & Astronomy,Sport Science,Chemistry,History, Philosophy & Theology,Economics & Econometrics,Languages, Literature & Linguistics,Art, Performing Arts & Design,Archaeology,Education,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Psychology,Computer Science,Agriculture & Forestry,Electrical & Electronic Engineering,Law,Mechanical & Aerospace Engineering,Other Health,Veterinary Science,Politics & International Studies (incl Development Studies),Chemical Engineering,Architecture,Sociology",/world-university-rankings/university-california-davis
39,Singapore,National University of Singapore,504,40,40,63.4,159,60.7,87,93.0,8,70.9,79.0,25,65.7,41,"Other Health,Accounting & Finance,General Engineering,Art, Performing Arts & Design,Psychology,Geography,Chemistry,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Civil Engineering,Computer Science,Sociology,Politics & International Studies (incl Development Studies),Law,Languages, Literature & Linguistics,Business & Management,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Communication & Media Studies,Architecture,Electrical & Electronic Engineering,Chemical Engineering,Medicine & Dentistry,Economics & Econometrics,Physics & Astronomy",/world-university-rankings/national-university-singapore
40,United States,Washington University in St Louis,505,41,41,96.1,27,-,400,45.7,225,70.5,58.9,59,64.0,44,"Chemistry,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Biological Sciences,Electrical & Electronic Engineering,Psychology,Economics & Econometrics,General Engineering,Other Health,Physics & Astronomy,Computer Science,Business & Management,Politics & International Studies (incl Development Studies),Education,History, Philosophy & Theology,Architecture,Civil Engineering,Accounting & Finance,Archaeology,Chemical Engineering,Communication & Media Studies,Law,Art, Performing Arts & Design,Mathematics & Statistics,Sociology,Mechanical & Aerospace Engineering",/world-university-rankings/washington-university-st-louis
41,United States,University of Minnesota,506,42,42,85.4,70,-,397,25.6,339,70.0,72.5,37,66.1,38,"Communication & Media Studies,Medicine & Dentistry,Accounting & Finance,Biological Sciences,Languages, Literature & Linguistics,Sociology,Chemical Engineering,Agriculture & Forestry,Physics & Astronomy,Veterinary Science,Economics & Econometrics,Chemistry,Electrical & Electronic Engineering,Business & Management,Politics & International Studies (incl Development Studies),Architecture,Psychology,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Geography,Law,Sport Science,Art, Performing Arts & Design,Other Health,History, Philosophy & Theology,Mathematics & Statistics,General Engineering,Mechanical & Aerospace Engineering,Computer Science,Education",/world-university-rankings/university-minnesota-0
42,United States,University of North Carolina at Chapel Hill,507,43,43,92.6,38,35.5,217,20.2,377,69.3,62.6,51,67.6,34,"Languages, Literature & Linguistics,Economics & Econometrics,Geography,Biological Sciences,Law,Sociology,Politics & International Studies (incl Development Studies),Business & Management,History, Philosophy & Theology,Psychology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Other Health,Mathematics & Statistics,Education,Physics & Astronomy,Communication & Media Studies,Art, Performing Arts & Design,Chemistry,Medicine & Dentistry",/world-university-rankings/university-north-carolina-chapel-hill
43,United States,New York University,508,44,44,92.3,39,30.9,282,38.1,256,69.0,65.4,46,60.2,55,"Psychology,Architecture,Geography,Medicine & Dentistry,Biological Sciences,Law,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemistry,Other Health,General Engineering,Mathematics & Statistics,Civil Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Business & Management,Languages, Literature & Linguistics,Computer Science,Sociology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Accounting & Finance,Education,Electrical & Electronic Engineering,Archaeology,Communication & Media Studies,Chemical Engineering",/world-university-rankings/new-york-university
44,Germany,LMU Munich,509,45,45,84.6,73,40.7,166,54.3,179,67.6,59.9,56,63.8,45,"Medicine & Dentistry,Physics & Astronomy,Languages, Literature & Linguistics,Mathematics & Statistics,Communication & Media Studies,Other Health,Geology, Environmental, Earth & Marine Sciences,Chemistry,Computer Science,Sociology,Biological Sciences,Geography,Psychology,Politics & International Studies (incl Development Studies),Economics & Econometrics,Archaeology,Law,Education,History, Philosophy & Theology,Art, Performing Arts & Design,Veterinary Science",/world-university-rankings/lmu-munich
45,Switzerland,École Polytechnique Fédérale de Lausanne,510,46,46,95.3,29,46.7,125,98.9,1,66.3,43.9,109,53.1,75,"Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Mathematics & Statistics,General Engineering,Physics & Astronomy,Civil Engineering,Computer Science,Chemistry,Chemical Engineering,Electrical & Electronic Engineering,Architecture,Mechanical & Aerospace Engineering,Communication & Media Studies",/world-university-rankings/ecole-polytechnique-federale-de-lausanne
